西元年,月,日,星期,總運量,日期,是否為節日,星期幾,是否週末,月份,是否寒暑假,滾動平均_7日,滾動平均_14日,去年同日,去年同日運量,是否連假前一日,是否連假最後日
2015,1,14,三,1969032,2015-01-14,否,2,0,1,1,1922764.5714285714,1878625.9285714286,2014-01-14,,0,0
2015,1,15,四,2003565,2015-01-15,否,3,0,1,1,1925000.5714285714,1893384.142857143,2014-01-15,,0,0
2015,1,16,五,2212934,2015-01-16,否,4,0,1,1,1932001.2857142857,1920723.4285714286,2014-01-16,,1,0
2015,1,17,六,1884434,2015-01-17,是,5,1,1,1,1930193.4285714286,1926608.9285714286,2014-01-17,,1,0
2015,1,18,日,1631624,2015-01-18,是,6,1,1,1,1941677.142857143,1929906.142857143,2014-01-18,,0,0
2015,1,19,一,1913736,2015-01-19,否,0,0,1,1,1938526.142857143,1929792.5714285714,2014-01-19,,0,1
2015,1,20,二,2012293,2015-01-20,否,1,0,1,1,1946802.5714285714,1934557.0,2014-01-20,,0,0
2015,1,21,三,1976113,2015-01-21,否,2,0,1,1,1947814.142857143,1935289.357142857,2014-01-21,,0,0
2015,1,22,四,1992942,2015-01-22,否,3,0,1,1,1946296.5714285714,1935648.5714285714,2014-01-22,,0,0
2015,1,23,五,2142013,2015-01-23,否,4,0,1,1,1936165.0,1934083.142857143,2014-01-23,,1,0
2015,1,24,六,1901482,2015-01-24,是,5,1,1,1,1938600.4285714286,1934396.9285714286,2014-01-24,,1,0
2015,1,25,日,1596872,2015-01-25,是,6,1,1,1,1933635.857142857,1937656.5,2014-01-25,,0,0
2015,1,26,一,1904495,2015-01-26,否,0,0,1,1,1932315.7142857143,1935420.9285714286,2014-01-26,,0,1
2015,1,27,二,2055511,2015-01-27,否,1,0,1,1,1938489.7142857143,1942646.142857143,2014-01-27,,0,0
2015,1,28,三,2022619,2015-01-28,否,2,0,1,1,1945133.4285714286,1946473.7857142857,2014-01-28,,0,0
2015,1,29,四,2041400,2015-01-29,否,3,0,1,1,1952056.0,1949176.2857142857,2014-01-29,,0,0
2015,1,30,五,2148037,2015-01-30,否,4,0,1,1,1952916.5714285714,1944540.7857142857,2014-01-30,,1,0
2015,1,31,六,1951006,2015-01-31,是,5,1,1,1,1959991.4285714286,1949295.9285714286,2014-01-31,,1,0
2015,2,1,日,1674182,2015-02-01,是,6,1,2,1,1971035.7142857143,1952335.7857142857,2014-02-01,,0,0
2015,2,2,一,1964993,2015-02-02,否,0,0,2,1,1979678.2857142857,1955997.0,2014-02-02,,0,1
