西元年,月,日,星期,總運量,日期,是否為節日
2015,1,1,四,1796950,2015-01-01,是
2015,1,2,五,1830184,2015-01-02,是
2015,1,3,六,1802037,2015-01-03,是
2015,1,4,日,1585463,2015-01-04,是
2015,1,5,一,1915326,2015-01-05,否
2015,1,6,二,1945591,2015-01-06,否
2015,1,7,三,1965860,2015-01-07,否
2015,1,8,四,1987913,2015-01-08,否
2015,1,9,五,2163929,2015-01-09,否
2015,1,10,六,1897089,2015-01-10,是
2015,1,11,日,1551238,2015-01-11,是
2015,1,12,一,1935793,2015-01-12,否
2015,1,13,二,1954358,2015-01-13,否
2015,1,14,三,1969032,2015-01-14,否
2015,1,15,四,2003565,2015-01-15,否
2015,1,16,五,2212934,2015-01-16,否
2015,1,17,六,1884434,2015-01-17,是
2015,1,18,日,1631624,2015-01-18,是
2015,1,19,一,1913736,2015-01-19,否
2015,1,20,二,2012293,2015-01-20,否
2015,1,21,三,1976113,2015-01-21,否
2015,1,22,四,1992942,2015-01-22,否
2015,1,23,五,2142013,2015-01-23,否
2015,1,24,六,1901482,2015-01-24,是
2015,1,25,日,1596872,2015-01-25,是
2015,1,26,一,1904495,2015-01-26,否
2015,1,27,二,2055511,2015-01-27,否
2015,1,28,三,2022619,2015-01-28,否
2015,1,29,四,2041400,2015-01-29,否
2015,1,30,五,2148037,2015-01-30,否
2015,1,31,六,1951006,2015-01-31,是
2015,2,1,日,1674182,2015-02-01,是
2015,2,2,一,1964993,2015-02-02,否
2015,2,3,二,2043308,2015-02-03,否
2015,2,4,三,2037181,2015-02-04,否
2015,2,5,四,2070304,2015-02-05,否
2015,2,6,五,2217979,2015-02-06,否
2015,2,7,六,1971770,2015-02-07,是
2015,2,8,日,1677919,2015-02-08,是
2015,2,9,一,2023553,2015-02-09,否
2015,2,10,二,2152075,2015-02-10,否
2015,2,11,三,2174660,2015-02-11,否
2015,2,12,四,2191011,2015-02-12,否
2015,2,13,五,2310343,2015-02-13,否
2015,2,14,六,1972064,2015-02-14,是
2015,2,15,日,1636321,2015-02-15,是
2015,2,16,一,2007257,2015-02-16,否
2015,2,17,二,1761184,2015-02-17,否
2015,2,18,三,751526,2015-02-18,是
2015,2,19,四,1342552,2015-02-19,是
2015,2,20,五,1356261,2015-02-20,是
2015,2,21,六,1678593,2015-02-21,是
2015,2,22,日,1653840,2015-02-22,是
2015,2,23,一,1578871,2015-02-23,是
2015,2,24,二,1980871,2015-02-24,否
2015,2,25,三,2037969,2015-02-25,否
2015,2,26,四,2152779,2015-02-26,否
2015,2,27,五,2031991,2015-02-27,是
2015,2,28,六,2081276,2015-02-28,是
2015,3,1,日,1715067,2015-03-01,是
2015,3,2,一,1994187,2015-03-02,否
2015,3,3,二,2054679,2015-03-03,否
2015,3,4,三,2074934,2015-03-04,否
2015,3,5,四,2081005,2015-03-05,否
2015,3,6,五,2303705,2015-03-06,否
2015,3,7,六,2165069,2015-03-07,是
2015,3,8,日,1856581,2015-03-08,是
2015,3,9,一,1976908,2015-03-09,否
2015,3,10,二,2043045,2015-03-10,否
2015,3,11,三,2074794,2015-03-11,否
2015,3,12,四,2089203,2015-03-12,否
2015,3,13,五,2277913,2015-03-13,否
2015,3,14,六,2130819,2015-03-14,是
2015,3,15,日,1752420,2015-03-15,是
2015,3,16,一,1986568,2015-03-16,否
2015,3,17,二,2023027,2015-03-17,否
2015,3,18,三,2074299,2015-03-18,否
2015,3,19,四,2074453,2015-03-19,否
2015,3,20,五,2261770,2015-03-20,否
2015,3,21,六,1996906,2015-03-21,是
2015,3,22,日,1642602,2015-03-22,是
2015,3,23,一,1955818,2015-03-23,否
2015,3,24,二,2027070,2015-03-24,否
2015,3,25,三,2075806,2015-03-25,否
2015,3,26,四,2102538,2015-03-26,否
2015,3,27,五,2306849,2015-03-27,否
2015,3,28,六,2042943,2015-03-28,是
2015,3,29,日,1723325,2015-03-29,是
2015,3,30,一,1962335,2015-03-30,否
2015,3,31,二,2001689,2015-03-31,否
2015,4,1,三,2048305,2015-04-01,否
2015,4,2,四,2158720,2015-04-02,否
2015,4,3,五,1769724,2015-04-03,是
2015,4,4,六,1674820,2015-04-04,是
2015,4,5,日,1510349,2015-04-05,是
2015,4,6,一,1579297,2015-04-06,是
2015,4,7,二,1983465,2015-04-07,否
2015,4,8,三,2028915,2015-04-08,否
2015,4,9,四,2061803,2015-04-09,否
2015,4,10,五,2275422,2015-04-10,否
2015,4,11,六,1966373,2015-04-11,是
2015,4,12,日,1656018,2015-04-12,是
2015,4,13,一,1968264,2015-04-13,否
2015,4,14,二,2003426,2015-04-14,否
2015,4,15,三,2025021,2015-04-15,否
2015,4,16,四,2014753,2015-04-16,否
2015,4,17,五,2188779,2015-04-17,否
2015,4,18,六,1958707,2015-04-18,是
2015,4,19,日,1618031,2015-04-19,是
2015,4,20,一,1929198,2015-04-20,否
2015,4,21,二,1954680,2015-04-21,否
2015,4,22,三,1997117,2015-04-22,否
2015,4,23,四,2000629,2015-04-23,否
2015,4,24,五,2201347,2015-04-24,否
2015,4,25,六,2016736,2015-04-25,是
2015,4,26,日,1693935,2015-04-26,是
2015,4,27,一,1941963,2015-04-27,否
2015,4,28,二,1984661,2015-04-28,否
2015,4,29,三,2019740,2015-04-29,否
2015,4,30,四,2102457,2015-04-30,否
2015,5,1,五,2017620,2015-05-01,是
2015,5,2,六,1985334,2015-05-02,是
2015,5,3,日,1708675,2015-05-03,是
2015,5,4,一,2021378,2015-05-04,否
2015,5,5,二,2036682,2015-05-05,否
2015,5,6,三,2022455,2015-05-06,否
2015,5,7,四,2032029,2015-05-07,否
2015,5,8,五,2224602,2015-05-08,否
2015,5,9,六,1850816,2015-05-09,是
2015,5,10,日,1514055,2015-05-10,是
2015,5,11,一,1936196,2015-05-11,否
2015,5,12,二,1979123,2015-05-12,否
2015,5,13,三,1991817,2015-05-13,否
2015,5,14,四,2000535,2015-05-14,否
2015,5,15,五,2247198,2015-05-15,否
2015,5,16,六,1997653,2015-05-16,是
2015,5,17,日,1716639,2015-05-17,是
2015,5,18,一,1930446,2015-05-18,否
2015,5,19,二,1965127,2015-05-19,否
2015,5,20,三,1990712,2015-05-20,否
2015,5,21,四,2021880,2015-05-21,否
2015,5,22,五,2201210,2015-05-22,否
2015,5,23,六,1979735,2015-05-23,是
2015,5,24,日,1635157,2015-05-24,是
2015,5,25,一,2005654,2015-05-25,否
2015,5,26,二,1986520,2015-05-26,否
2015,5,27,三,2006424,2015-05-27,否
2015,5,28,四,2011965,2015-05-28,否
2015,5,29,五,2183427,2015-05-29,否
2015,5,30,六,1941473,2015-05-30,是
2015,5,31,日,1619120,2015-05-31,是
2015,6,1,一,1924451,2015-06-01,否
2015,6,2,二,1972450,2015-06-02,否
2015,6,3,三,2021093,2015-06-03,否
2015,6,4,四,2030356,2015-06-04,否
2015,6,5,五,2232110,2015-06-05,否
2015,6,6,六,1951840,2015-06-06,是
2015,6,7,日,1602443,2015-06-07,是
2015,6,8,一,1923407,2015-06-08,否
2015,6,9,二,1957916,2015-06-09,否
2015,6,10,三,1996798,2015-06-10,否
2015,6,11,四,2007356,2015-06-11,否
2015,6,12,五,2188828,2015-06-12,否
2015,6,13,六,2001983,2015-06-13,是
2015,6,14,日,1625054,2015-06-14,是
2015,6,15,一,1949529,2015-06-15,否
2015,6,16,二,2006125,2015-06-16,否
2015,6,17,三,2021431,2015-06-17,否
2015,6,18,四,2112406,2015-06-18,否
2015,6,19,五,1548038,2015-06-19,是
2015,6,20,六,1365272,2015-06-20,是
2015,6,21,日,1406174,2015-06-21,是
2015,6,22,一,1921572,2015-06-22,否
2015,6,23,二,1963001,2015-06-23,否
2015,6,24,三,2004488,2015-06-24,否
2015,6,25,四,2055584,2015-06-25,否
2015,6,26,五,2212425,2015-06-26,否
2015,6,27,六,1933774,2015-06-27,是
2015,6,28,日,1570847,2015-06-28,是
2015,6,29,一,1962023,2015-06-29,否
2015,6,30,二,2099628,2015-06-30,否
2015,7,1,三,2019721,2015-07-01,否
2015,7,2,四,2018111,2015-07-02,否
2015,7,3,五,2140847,2015-07-03,否
2015,7,4,六,1875436,2015-07-04,是
