Date,name,isHoliday,holidayCategory,description
20130101,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
20130105,,是,星期六、星期日,
20130106,,是,星期六、星期日,
20130112,,是,星期六、星期日,
20130113,,是,星期六、星期日,
20130119,,是,星期六、星期日,
20130120,,是,星期六、星期日,
20130126,,是,星期六、星期日,
20130127,,是,星期六、星期日,
20130202,,是,星期六、星期日,
20130203,,是,星期六、星期日,
20130209,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於二月十三日補假一日。
20130210,春節,是,放假之紀念日及節日,全國各機關學校於二月十日至二月十二日放假三日，二月十日適逢星期日，於二月十四日補假一日。
20130211,春節,是,放假之紀念日及節日,全國各機關學校於二月十日至二月十二日放假三日，二月十日適逢星期日，於二月十四日補假一日。
20130212,春節,是,放假之紀念日及節日,全國各機關學校於二月十日至二月十二日放假三日，二月十日適逢星期日，於二月十四日補假一日。
20130213,,是,補假,
20130214,,是,補假,
20130215,,是,調整放假日,二月十五日全國各機關學校調整假，於二月二十三日補行上班一日。
20130216,,是,星期六、星期日,
20130217,,是,星期六、星期日,
20130223,,否,補行上班日,
20130224,,是,星期日,
20130228,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
20130302,,是,星期六、星期日,
20130303,,是,星期六、星期日,
20130308,婦女節,否,紀念日及節日,本日照常上班。
20130309,,是,星期六、星期日,
20130310,,是,星期六、星期日,
20130316,,是,星期六、星期日,
20130317,,是,星期六、星期日,
20130323,,是,星期六、星期日,
20130324,,是,星期六、星期日,
20130329,青年節,否,紀念日及節日,本日照常上班。
20130330,,是,星期六、星期日,
20130331,,是,星期六、星期日,
20130404,兒童節、民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日，適逢民族掃墓節，調整至四月五日放假。
20130405,,是,調整放假日,
20130406,,是,星期六、星期日,
20130407,,是,星期六、星期日,
20130413,,是,星期六、星期日,
20130414,,是,星期六、星期日,
20130420,,是,星期六、星期日,
20130421,,是,星期六、星期日,
20130427,,是,星期六、星期日,
20130428,,是,星期六、星期日,
20130501,勞動節,是,特定節日,勞工放假一日。
20130504,,是,星期六、星期日,
20130505,,是,星期六、星期日,
20130511,,是,星期六、星期日,
20130512,,是,星期六、星期日,
20130518,,是,星期六、星期日,
20130519,,是,星期六、星期日,
20130525,,是,星期六、星期日,
20130526,,是,星期六、星期日,
20130601,,是,星期六、星期日,
20130602,,是,星期六、星期日,
20130608,,是,星期六、星期日,
20130609,,是,星期六、星期日,
20130612,端午節,是,放假之紀念日及節日,全國各機關學校放假一日。
20130615,,是,星期六、星期日,
20130616,,是,星期六、星期日,
20130622,,是,星期六、星期日,
20130623,,是,星期六、星期日,
20130629,,是,星期六、星期日,
20130630,,是,星期六、星期日,
20130706,,是,星期六、星期日,
20130707,,是,星期六、星期日,
20130713,,是,星期六、星期日,
20130714,,是,星期六、星期日,
20130720,,是,星期六、星期日,
20130721,,是,星期六、星期日,
20130727,,是,星期六、星期日,
20130728,,是,星期六、星期日,
20130803,,是,星期六、星期日,
20130804,,是,星期六、星期日,
20130810,,是,星期六、星期日,
20130811,,是,星期六、星期日,
20130817,,是,星期六、星期日,
20130818,,是,星期六、星期日,
20130824,,是,星期六、星期日,
20130825,,是,星期六、星期日,
20130831,,是,星期六、星期日,
20130901,,是,星期六、星期日,
20130903,軍人節,否,特定節日,軍人依國防部規定辦理
20130907,,是,星期六、星期日,
20130908,,是,星期六、星期日,
20130914,,否,補行上班日,
20130915,,是,星期日,
20130919,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日。
20130920,,是,調整放假日,九月二十日全國各機關學校調整放假，於九月十四日補行上班一日
20130921,,是,星期六、星期日,
20130922,,是,星期六、星期日,
20130928,教師節,是,紀念日及節日,適逢星期六放假一日
20130929,,是,星期六、星期日,
20131005,,是,星期六、星期日,
20131006,,是,星期六、星期日,
20131010,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日。
20131012,,是,星期六、星期日,
20131013,,是,星期六、星期日,
20131019,,是,星期六、星期日,
20131020,,是,星期六、星期日,
20131025,臺灣光復節,否,紀念日及節日,本日照常上班。
20131026,,是,星期六、星期日,
20131027,,是,星期六、星期日,
20131102,,是,星期六、星期日,
20131103,,是,星期六、星期日,
20131109,,是,星期六、星期日,
20131110,,是,星期六、星期日,
20131112,國父誕辰紀念日(中華文化復興節),否,紀念日及節日,本日照常上班。
20131116,,是,星期六、星期日,
20131117,,是,星期六、星期日,
20131123,,是,星期六、星期日,
20131124,,是,星期六、星期日,
20131130,,是,星期六、星期日,
20131201,,是,星期六、星期日,
20131207,,是,星期六、星期日,
20131208,,是,星期六、星期日,
20131214,,是,星期六、星期日,
20131215,,是,星期六、星期日,
20131221,,是,星期六、星期日,
20131222,,是,星期六、星期日,
20131225,行憲紀念日,否,紀念日及節日,本日照常上班。
20131228,,是,星期六、星期日,
20131229,,是,星期六、星期日,
20140101,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
20140104,,是,星期六、星期日,
20140105,,是,星期六、星期日,
20140111,,是,星期六、星期日,
20140112,,是,星期六、星期日,
20140118,,是,星期六、星期日,
20140119,,是,星期六、星期日,
20140125,,是,星期六、星期日,
20140126,,是,星期六、星期日,
20140130,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日。
20140131,春節,是,放假之紀念日及節日,全國各機關學校於一月三十一日至二月二日放假三日，二月一日及二月二日適逢星期六、星期日，分別於二月三日及二月四日補假一日。
20140201,春節,是,放假之紀念日及節日,全國各機關學校於一月三十一日至二月二日放假三日，二月一日及二月二日適逢星期六、星期日，分別於二月三日及二月四日補假一日。
20140202,春節,是,放假之紀念日及節日,全國各機關學校於一月三十一日至二月二日放假三日，二月一日及二月二日適逢星期六、星期日，分別於二月三日及二月四日補假一日。
20140203,,是,補假,
20140204,,是,補假,
20140208,,是,星期六、星期日,
20140209,,是,星期六、星期日,
20140215,,是,星期六、星期日,
20140216,,是,星期六、星期日,
20140222,,是,星期六、星期日,
20140223,,是,星期六、星期日,
20140228,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
20140301,,是,星期六、星期日,
20140302,,是,星期六、星期日,
20140308,婦女節,是,紀念日及節日,適逢星期六放假一日。
20140309,,是,星期六、星期日,
20140315,,是,星期六、星期日,
20140316,,是,星期六、星期日,
20140322,,是,星期六、星期日,
20140323,,是,星期六、星期日,
20140329,青年節,是,紀念日及節日,適逢星期六放假一日。
20140330,,是,星期六、星期日,
20140404,兒童節,是,放假之紀念日及節日,全國各機關學校放假一日。
20140405,民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日。
20140406,,是,星期六、星期日,
20140412,,是,星期六、星期日,
20140413,,是,星期六、星期日,
20140419,,是,星期六、星期日,
20140420,,是,星期六、星期日,
20140426,,是,星期六、星期日,
20140427,,是,星期六、星期日,
20140501,勞動節,是,特定節日,勞工放假一日。
20140503,,是,星期六、星期日,
20140504,,是,星期六、星期日,
20140510,,是,星期六、星期日,
20140511,,是,星期六、星期日,
20140517,,是,星期六、星期日,
20140518,,是,星期六、星期日,
20140524,,是,星期六、星期日,
20140525,,是,星期六、星期日,
20140531,,是,星期六、星期日,
20140601,,是,星期六、星期日,
20140602,端午節,是,放假之紀念日及節日,全國各機關學校放假一日。
20140607,,是,星期六、星期日,
20140608,,是,星期六、星期日,
20140614,,是,星期六、星期日,
20140615,,是,星期六、星期日,
20140621,,是,星期六、星期日,
20140622,,是,星期六、星期日,
20140628,,是,星期六、星期日,
20140629,,是,星期六、星期日,
20140705,,是,星期六、星期日,
20140706,,是,星期六、星期日,
20140712,,是,星期六、星期日,
20140713,,是,星期六、星期日,
20140719,,是,星期六、星期日,
20140720,,是,星期六、星期日,
20140726,,是,星期六、星期日,
20140727,,是,星期六、星期日,
20140802,,是,星期六、星期日,
20140803,,是,星期六、星期日,
20140809,,是,星期六、星期日,
20140810,,是,星期六、星期日,
20140816,,是,星期六、星期日,
20140817,,是,星期六、星期日,
20140823,,是,星期六、星期日,
20140824,,是,星期六、星期日,
20140830,,是,星期六、星期日,
20140831,,是,星期六、星期日,
20140903,軍人節,否,特定節日,軍人依國防部規定辦理
20140906,,是,星期六、星期日,
20140907,,是,星期六、星期日,
