西元年,月,日,星期,總運量
2015,05,01,五,2017620
2015,05,02,六,1985334
2015,05,03,日,1708675
2015,05,04,一,2021378
2015,05,05,二,2036682
2015,05,06,三,2022455
2015,05,07,四,2032029
2015,05,08,五,2224602
2015,05,09,六,1850816
2015,05,10,日,1514055
2015,05,11,一,1936196
2015,05,12,二,1979123
2015,05,13,三,1991817
2015,05,14,四,2000535
2015,05,15,五,2247198
2015,05,16,六,1997653
2015,05,17,日,1716639
2015,05,18,一,1930446
2015,05,19,二,1965127
2015,05,20,三,1990712
2015,05,21,四,2021880
2015,05,22,五,2201210
2015,05,23,六,1979735
2015,05,24,日,1635157
2015,05,25,一,2005654
2015,05,26,二,1986520
2015,05,27,三,2006424
2015,05,28,四,2011965
2015,05,29,五,2183427
2015,05,30,六,1941473
2015,05,31,日,1619120
